"first","second"
"176.9955 , 96.9765 , 121.074","88.995 , 145.9875 , 162.996"
"176.9955 , 96.9765 , 121.074","2.9835 , 82.977 , 154.989"
"176.9955 , 96.9765 , 121.074","47.991 , 40.9785 , 116.994"
"176.9955 , 96.9765 , 121.074","3.978 , 64.9995 , 111.996"
"176.9955 , 96.9765 , 121.074","9.996 , 56.9925 , 76.9845"
"176.9955 , 96.9765 , 121.074","141.984 , 207.978 , 193.9785"
"176.9955 , 96.9765 , 121.074","65.994 , 167.994 , 154.989"
"176.9955 , 96.9765 , 121.074","104.9835 , 168.9885 , 153"
"176.9955 , 96.9765 , 121.074","8.976 , 110.976 , 121.992"
"176.9955 , 96.9765 , 121.074","54.978 , 116.994 , 103.989"
"176.9955 , 96.9765 , 121.074","3.978 , 78.999 , 73.9755"
"176.9955 , 96.9765 , 121.074","10.9905 , 59.976 , 56.9925"
"176.9955 , 96.9765 , 121.074","163.9905 , 226.9755 , 172.992"
"176.9955 , 96.9765 , 121.074","95.982 , 193.9785 , 110.976"
"176.9955 , 96.9765 , 121.074","131.988 , 179.979 , 127.9845"
"176.9955 , 96.9765 , 121.074","64.9995 , 161.976 , 68.9775"
"176.9955 , 96.9765 , 121.074","72.981 , 127.9845 , 85.986"
"176.9955 , 96.9765 , 121.074","32.997 , 116.994 , 39.984"
"176.9955 , 96.9765 , 121.074","22.9755 , 61.9905 , 31.977"
"176.9955 , 96.9765 , 121.074","216.9795 , 226.9755 , 106.998"
"176.9955 , 96.9765 , 121.074","197.982 , 221.9775 , 36.975"
"176.9955 , 96.9765 , 121.074","174.981 , 190.995 , 90.984"
"176.9955 , 96.9765 , 121.074","170.9775 , 201.9855 , 1.989"
"176.9955 , 96.9765 , 121.074","132.9825 , 147.9765 , 42.993"
"176.9955 , 96.9765 , 121.074","117.9885 , 142.9785 , 0.9945"
"176.9955 , 96.9765 , 121.074","68.9775 , 85.986 , 7.9815"
"176.9955 , 96.9765 , 121.074","251.991 , 236.997 , 119.9775"
"176.9955 , 96.9765 , 121.074","252.9855 , 221.9775 , 42.993"
"176.9955 , 96.9765 , 121.074","211.9815 , 190.995 , 81.9825"
"176.9955 , 96.9765 , 121.074","244.9785 , 208.998 , 0.9945"
"176.9955 , 96.9765 , 121.074","175.9755 , 151.98 , 45.9765"
"176.9955 , 96.9765 , 121.074","170.9775 , 143.9985 , 2.9835"
"176.9955 , 96.9765 , 121.074","104.9835 , 90.984 , 20.9865"
"176.9955 , 96.9765 , 121.074","250.9965 , 200.991 , 141.984"
"176.9955 , 96.9765 , 121.074","251.991 , 166.9995 , 40.9785"
"176.9955 , 96.9765 , 121.074","228.99 , 154.989 , 91.9785"
"176.9955 , 96.9765 , 121.074","255 , 143.9985 , 0"
"176.9955 , 96.9765 , 121.074","174.981 , 120.9975 , 60.996"
"176.9955 , 96.9765 , 121.074","172.992 , 100.98 , 1.989"
"176.9955 , 96.9765 , 121.074","118.983 , 69.9975 , 11.985"
"176.9955 , 96.9765 , 121.074","250.9965 , 175.9755 , 153"
"176.9955 , 96.9765 , 121.074","251.991 , 112.9905 , 46.9965"
"176.9955 , 96.9765 , 121.074","230.979 , 126.99 , 114.9795"
"176.9955 , 96.9765 , 121.074","232.9935 , 52.989 , 6.987"
"176.9955 , 96.9765 , 121.074","162.996 , 87.975 , 57.987"
"176.9955 , 96.9765 , 121.074","165.9795 , 26.979 , 1.989"
"176.9955 , 96.9765 , 121.074","120.9975 , 41.9985 , 24.99"
"176.9955 , 96.9765 , 121.074","246.993 , 153.9945 , 161.976"
"176.9955 , 96.9765 , 121.074","226.9755 , 97.9965 , 100.98"
"176.9955 , 96.9765 , 121.074","210.987 , 121.992 , 125.9955"
"176.9955 , 96.9765 , 121.074","218.994 , 11.985 , 39.984"
"176.9955 , 96.9765 , 121.074","150.9855 , 72.981 , 75.99"
"176.9955 , 96.9765 , 121.074","155.9835 , 8.976 , 26.979"
"176.9955 , 96.9765 , 121.074","89.9895 , 29.988 , 31.977"
"176.9955 , 96.9765 , 121.074","1.989 , 3.978 , 0.9945"
"176.9955 , 96.9765 , 121.074","41.9985 , 48.9855 , 40.9785"
"176.9955 , 96.9765 , 121.074","89.9895 , 95.982 , 81.9825"
"176.9955 , 96.9765 , 121.074","93.993 , 99.9855 , 85.986"
"176.9955 , 96.9765 , 121.074","126.99 , 130.9935 , 116.994"
"176.9955 , 96.9765 , 121.074","157.998 , 161.976 , 147.9765"
"176.9955 , 96.9765 , 121.074","180.999 , 186.9915 , 172.992"
"176.9955 , 96.9765 , 121.074","216.9795 , 218.994 , 205.989"
"176.9955 , 96.9765 , 121.074","246.993 , 247.9875 , 241.995"
"156.978 , 28.9935 , 83.997","156.978 , 28.9935 , 83.997"
"156.978 , 28.9935 , 83.997","124.9755 , 61.9905 , 78.999"
"156.978 , 28.9935 , 83.997","125.9955 , 11.985 , 69.9975"
"156.978 , 28.9935 , 83.997","82.977 , 37.995 , 60.996"
"156.978 , 28.9935 , 83.997","178.9845 , 138.975 , 183.9825"
"156.978 , 28.9935 , 83.997","143.9985 , 90.984 , 168.9885"
"156.978 , 28.9935 , 83.997","139.995 , 95.982 , 146.982"
"156.978 , 28.9935 , 83.997","100.98 , 43.9875 , 124.9755"
"156.978 , 28.9935 , 83.997","93.993 , 66.9885 , 99.9855"
"156.978 , 28.9935 , 83.997","67.983 , 15.9885 , 89.9895"
"156.978 , 28.9935 , 83.997","51.9945 , 31.977 , 59.976"
"156.978 , 28.9935 , 83.997","151.98 , 150.9855 , 192.984"
"156.978 , 28.9935 , 83.997","113.985 , 113.985 , 201.9855"
"156.978 , 28.9935 , 83.997","113.985 , 107.9925 , 146.982"
"156.978 , 28.9935 , 83.997","57.987 , 49.98 , 158.9925"
"156.978 , 28.9935 , 83.997","78.999 , 72.981 , 108.987"
"156.978 , 28.9935 , 83.997","38.9895 , 29.988 , 110.976"
"156.978 , 28.9935 , 83.997","23.9955 , 22.9755 , 57.987"
"156.978 , 28.9935 , 83.997","134.997 , 162.996 , 201.9855"
"156.978 , 28.9935 , 83.997","66.9885 , 122.9865 , 196.9875"
"156.978 , 28.9935 , 83.997","95.982 , 122.9865 , 167.994"
"156.978 , 28.9935 , 83.997","12.9795 , 79.9935 , 162.996"
"156.978 , 28.9935 , 83.997","63.9795 , 89.9895 , 122.9865"
"156.978 , 28.9935 , 83.997","2.9835 , 44.982 , 136.986"
"156.978 , 28.9935 , 83.997","3.978 , 32.997 , 64.9995"
"156.978 , 28.9935 , 83.997","115.9995 , 183.9825 , 195.993"
"156.978 , 28.9935 , 83.997","51 , 148.9965 , 183.9825"
"156.978 , 28.9935 , 83.997","88.995 , 145.9875 , 162.996"
"156.978 , 28.9935 , 83.997","2.9835 , 82.977 , 154.989"
"156.978 , 28.9935 , 83.997","47.991 , 40.9785 , 116.994"
"156.978 , 28.9935 , 83.997","3.978 , 64.9995 , 111.996"
"156.978 , 28.9935 , 83.997","9.996 , 56.9925 , 76.9845"
"156.978 , 28.9935 , 83.997","141.984 , 207.978 , 193.9785"
"156.978 , 28.9935 , 83.997","65.994 , 167.994 , 154.989"
"156.978 , 28.9935 , 83.997","104.9835 , 168.9885 , 153"
"156.978 , 28.9935 , 83.997","8.976 , 110.976 , 121.992"
"156.978 , 28.9935 , 83.997","54.978 , 116.994 , 103.989"
"156.978 , 28.9935 , 83.997","3.978 , 78.999 , 73.9755"
"156.978 , 28.9935 , 83.997","10.9905 , 59.976 , 56.9925"
"156.978 , 28.9935 , 83.997","163.9905 , 226.9755 , 172.992"
"156.978 , 28.9935 , 83.997","95.982 , 193.9785 , 110.976"
"156.978 , 28.9935 , 83.997","131.988 , 179.979 , 127.9845"
"156.978 , 28.9935 , 83.997","64.9995 , 161.976 , 68.9775"
"156.978 , 28.9935 , 83.997","72.981 , 127.9845 , 85.986"
"156.978 , 28.9935 , 83.997","32.997 , 116.994 , 39.984"
"156.978 , 28.9935 , 83.997","22.9755 , 61.9905 , 31.977"
"156.978 , 28.9935 , 83.997","216.9795 , 226.9755 , 106.998"
"156.978 , 28.9935 , 83.997","197.982 , 221.9775 , 36.975"
"156.978 , 28.9935 , 83.997","174.981 , 190.995 , 90.984"
